"Step","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"852","-63","-63","-63"
"853","-64","-64","-64"
"854","-64","-64","-64"
"855","-65","-65","-65"
"856","-64","-64","-64"
"857","-64","-64","-64"
"858","-64","-64","-64"
"859","-64","-64","-64"
"860","-65","-65","-65"
"861","-64","-64","-64"
"862","-63","-63","-63"
"863","-64","-64","-64"
"864","-63","-63","-63"
"865","-65","-65","-65"
"866","-64","-64","-64"
"867","-64","-64","-64"
"868","-64","-64","-64"
"869","-64","-64","-64"
"870","-63","-63","-63"
"871","-63","-63","-63"
"872","-65","-65","-65"
"873","-64","-64","-64"
"874","-64","-64","-64"
"875","-64","-64","-64"
"876","-64","-64","-64"
"877","-63","-63","-63"
"878","-64","-64","-64"
"879","-63","-63","-63"
"880","-63","-63","-63"
"881","-64","-64","-64"
"882","-63","-63","-63"
"883","-63","-63","-63"
"884","-64","-64","-64"
"885","-64","-64","-64"
"886","-63","-63","-63"
"887","-64","-64","-64"
"888","-63","-63","-63"
"889","-64","-64","-64"
"890","-64","-64","-64"
"891","-63","-63","-63"
"892","-63","-63","-63"
"893","-64","-64","-64"
"894","-63","-63","-63"
"895","-64","-64","-64"
"896","-63","-63","-63"
"897","-64","-64","-64"
"898","-65","-65","-65"
"899","-65","-65","-65"
"900","-64","-64","-64"
"901","-64","-64","-64"
"902","-64","-64","-64"
"903","-64","-64","-64"
"904","-65","-65","-65"
"905","-63","-63","-63"
"906","-64","-64","-64"
"907","-64","-64","-64"
"908","-64","-64","-64"
"909","-64","-64","-64"
"910","-64","-64","-64"
"911","-64","-64","-64"
"912","-64","-64","-64"
"913","-64","-64","-64"
"914","-64","-64","-64"
"915","-64","-64","-64"
"916","-64","-64","-64"
"917","-64","-64","-64"
"918","-64","-64","-64"
"919","-65","-65","-65"
"920","-64","-64","-64"
"921","-63","-63","-63"
"922","-63","-63","-63"
"923","-64","-64","-64"
"924","-64","-64","-64"
"925","-64","-64","-64"
"926","-64","-64","-64"
"927","-63","-63","-63"
"928","-64","-64","-64"
"929","-64","-64","-64"
"930","-64","-64","-64"
"931","-63","-63","-63"
"932","-64","-64","-64"
"933","-64","-64","-64"
"934","-64","-64","-64"
"935","-64","-64","-64"
"936","-65","-65","-65"
"937","-63","-63","-63"
"938","-65","-65","-65"
"939","-64","-64","-64"
"940","-65","-65","-65"
"941","-65","-65","-65"
"942","-64","-64","-64"
"943","-64","-64","-64"
"944","-64","-64","-64"
"945","-63","-63","-63"
"946","-64","-64","-64"
"947","-64","-64","-64"
